No. inseason,Title,Directed by,Written by,Original air date [20],U.S. viewers(millions)
1,"""The Wars to Come""",Michael Slovis,David Benioff & D. B. Weiss,"April 12, 2015 (2015-04-12)",8.00[61]
2,"""The House of Black and White""",Michael Slovis,David Benioff & D. B. Weiss,"April 19, 2015 (2015-04-19)",6.81[62]
3,"""High Sparrow""",Mark Mylod,David Benioff & D. B. Weiss,"April 26, 2015 (2015-04-26)",6.71[63]
4,"""Sons of the Harpy""",Mark Mylod,Dave Hill,"May 3, 2015 (2015-05-03)",6.82[64]
5,"""Kill the Boy""",Jeremy Podeswa,Bryan Cogman,"May 10, 2015 (2015-05-10)",6.56[65]
6,"""Unbowed, Unbent, Unbroken""",Jeremy Podeswa,Bryan Cogman,"May 17, 2015 (2015-05-17)",6.24[66]
7,"""The Gift""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 24, 2015 (2015-05-24)",5.40[67]
8,"""Hardhome""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 31, 2015 (2015-05-31)",7.01[68]
9,"""The Dance of Dragons""",David Nutter,David Benioff & D. B. Weiss,"June 7, 2015 (2015-06-07)",7.14[69]
10,"""Mother's Mercy""",David Nutter,David Benioff & D. B. Weiss,"June 14, 2015 (2015-06-14)",8.11[70]
